pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
5,12,audio/13_Boser_Wolf.mp3,sad,none of these,4,4,FALSE
5,13,audio/2_Love's_Requiem.mp3,sad,sad,3,2,TRUE
5,14,audio/2_Sweet_Song.mp3,relaxed,relaxed,4,4,TRUE
5,15,audio/9_Pain_(Live_Version).mp3,angry,angry,5,4,TRUE
5,16,audio/4_Make_Light.mp3,happy,happy,4,4,TRUE
5,17,audio/5_Love's_Requiem.mp3,sad,sad,3,2,TRUE
5,18,audio/1_The_Sweetest.mp3,relaxed,relaxed,4,5,TRUE
5,19,audio/21_Skank_Down.mp3,happy,none of these,4,4,FALSE
5,20,audio/2_Inside.mp3,sad,sad,3,3,TRUE
5,21,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,4,4,FALSE
5,22,audio/4_Come_On_Baby.mp3,relaxed,none of these,4,4,FALSE
5,23,audio/2_Incomplete.mp3,angry,angry,5,5,TRUE
5,24,audio/5_Valerie.mp3,happy,sad,5,3,FALSE
5,25,audio/12_Skank_Down.mp3,happy,none of these,4,4,FALSE
5,26,audio/25_Old_Blacktop.mp3,sad,none of these,5,4,FALSE
5,27,audio/7_Digital.mp3,relaxed,sad,4,3,FALSE
5,28,audio/23_Inside.mp3,sad,sad,3,4,TRUE
5,29,audio/3_Old_Blacktop.mp3,sad,sad,4,3,TRUE
5,30,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,relaxed,4,4,FALSE
5,31,audio/12_Skinny_Love.mp3,sad,sad,4,4,TRUE
5,32,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,5,3,TRUE
5,33,audio/8_Restless.mp3,happy,happy,4,5,TRUE
5,34,audio/2_Blood_On_The_Ground.mp3,angry,angry,6,5,TRUE
5,35,audio/7_Here_Today.mp3,sad,sad,4,4,TRUE
5,36,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,sad,3,4,TRUE
5,37,audio/16_Restless.mp3,happy,none of these,5,3,FALSE
5,38,audio/4_Mbube.mp3,relaxed,none of these,4,4,FALSE
5,39,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,4,3,TRUE
5,40,audio/15_Here_Today.mp3,sad,sad,3,3,TRUE
5,41,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,3,3,TRUE
6,0,audio/2_Incomplete.mp3,angry,none of these,5,4,FALSE
6,1,audio/12_Skinny_Love.mp3,sad,sad,2,3,TRUE
6,2,audio/4_Mbube.mp3,relaxed,happy,4,4,FALSE
6,3,audio/4_Make_Light.mp3,happy,relaxed,4,4,FALSE
6,4,audio/26_Make_Light.mp3,happy,relaxed,4,4,FALSE
6,5,audio/13_Boser_Wolf.mp3,sad,none of these,5,3,FALSE
6,6,audio/3_Old_Blacktop.mp3,sad,sad,3,3,TRUE
6,7,audio/5_Valerie.mp3,happy,relaxed,4,4,FALSE
6,8,audio/7_Digital.mp3,relaxed,happy,4,5,FALSE
6,9,audio/5_Get_Lucky.mp3,happy,sad,3,3,FALSE
6,10,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,4,4,FALSE
6,11,audio/2_Love's_Requiem.mp3,sad,relaxed,4,4,FALSE
6,12,audio/1_The_Sweetest.mp3,relaxed,happy,5,5,FALSE
6,13,audio/24_Restless.mp3,happy,happy,5,5,TRUE
6,14,audio/1_Skinny_Love.mp3,sad,sad,3,3,TRUE
6,15,audio/15_Here_Today.mp3,sad,sad,3,3,TRUE
6,16,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,6,2,TRUE
6,17,audio/21_Skank_Down.mp3,happy,angry,6,3,FALSE
6,18,audio/28_Valerie.mp3,happy,angry,5,5,FALSE
6,19,audio/2_Sweet_Song.mp3,relaxed,none of these,4,4,FALSE
6,20,audio/14_Get_Lucky.mp3,happy,relaxed,4,4,FALSE
6,21,audio/16_Restless.mp3,happy,angry,6,3,FALSE
6,22,audio/8_Restless.mp3,happy,relaxed,4,4,FALSE
6,23,audio/25_Old_Blacktop.mp3,sad,sad,3,3,TRUE
6,24,audio/3_Walk_on_the_wild_side.mp3,relaxed,sad,3,3,FALSE
6,25,audio/9_Pain_(Live_Version).mp3,angry,angry,6,2,TRUE
6,26,audio/5_Love's_Requiem.mp3,sad,sad,3,3,TRUE
6,27,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,relaxed,4,4,FALSE
6,28,audio/2_Inside.mp3,sad,happy,4,4,FALSE
6,29,audio/12_Skank_Down.mp3,happy,angry,5,3,FALSE
6,30,audio/13_Motown_Junk.mp3,angry,angry,5,3,TRUE
6,31,audio/7_Here_Today.mp3,sad,sad,5,3,TRUE
6,32,audio/2_Boser_Wolf.mp3,sad,relaxed,4,4,FALSE
6,33,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,relaxed,4,4,TRUE
6,34,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,relaxed,4,4,FALSE
6,35,audio/4_Destiny.mp3,relaxed,relaxed,4,4,TRUE
6,36,audio/11_Be_Happy.mp3,happy,happy,5,6,TRUE
6,37,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,4,3,TRUE
6,38,audio/4_Come_On_Baby.mp3,relaxed,sad,3,3,FALSE
6,39,audio/2_Blood_On_The_Ground.mp3,angry,none of these,4,4,FALSE
6,40,audio/23_Inside.mp3,sad,angry,5,3,FALSE
6,41,audio/1_Be_Happy.mp3,happy,happy,5,5,TRUE
7,0,audio/28_Valerie.mp3,happy,happy,6,6,TRUE
7,1,audio/4_Destiny.mp3,relaxed,sad,4,4,FALSE
7,2,audio/12_Skinny_Love.mp3,sad,sad,3,3,TRUE
7,3,audio/23_Inside.mp3,sad,relaxed,4,4,FALSE
7,4,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,happy,4,4,FALSE
7,5,audio/2_Blood_On_The_Ground.mp3,angry,angry,6,4,TRUE
7,6,audio/1_Skinny_Love.mp3,sad,sad,4,4,TRUE
7,7,audio/4_Mbube.mp3,relaxed,happy,5,4,FALSE
7,8,audio/16_Restless.mp3,happy,happy,5,5,TRUE
7,9,audio/2_Boser_Wolf.mp3,sad,relaxed,4,4,FALSE
7,10,audio/4_Come_On_Baby.mp3,relaxed,sad,4,4,FALSE
7,11,audio/13_Boser_Wolf.mp3,sad,relaxed,4,4,FALSE
7,12,audio/24_Restless.mp3,happy,happy,4,4,TRUE
7,13,audio/2_Incomplete.mp3,angry,angry,6,4,TRUE
7,14,audio/26_Make_Light.mp3,happy,happy,4,4,TRUE
7,15,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,relaxed,4,4,FALSE
7,16,audio/9_Pain_(Live_Version).mp3,angry,angry,5,4,TRUE
7,17,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,4,4,TRUE
7,18,audio/1_Be_Happy.mp3,happy,happy,4,4,TRUE
7,19,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,4,4,TRUE
7,20,audio/5_Get_Lucky.mp3,happy,happy,4,4,TRUE
7,21,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,relaxed,4,4,TRUE
7,22,audio/15_Here_Today.mp3,sad,sad,4,4,TRUE
7,23,audio/13_Motown_Junk.mp3,angry,angry,4,4,TRUE
7,24,audio/14_Get_Lucky.mp3,happy,happy,4,4,TRUE
7,25,audio/5_Valerie.mp3,happy,happy,5,5,TRUE
7,26,audio/7_Digital.mp3,relaxed,sad,4,4,FALSE
7,27,audio/25_Old_Blacktop.mp3,sad,sad,4,4,TRUE
7,28,audio/5_Love's_Requiem.mp3,sad,sad,4,4,TRUE
